FI;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
RF_SGGE_msi;PTMAP5;MSH4;BOLA3P3;TAAR3;TNNC2;TRPV6;AC098592.7;CELP;AC000362.1;TGFBR3L;KRT23;AC000374.1;CFAP46;LY6G6E;AC115283.1;KRT35;LINC01168;LINC01213;KIR2DL4;CCNG1P1;MSH4;PTMAP5;TRPV6;LY6G6E;SLC10A5P1;TAAR3;KRT23;KIR2DL4;TGFBR3L;PITX3;AC019330.1;CELP;TNNC2;ZNF683;AC000362.1;F7;KRT35;AC226118.1;LINC01168;KRT32;PTMAP5;MSH4;TAAR3;TNNC2;CELP;CFAP46;AC098592.7;TRPV6;KIR2DL4;BOLA3P3;TGFBR3L;AC007405.8;KRT23;LY6G6E;LINC01168;CNN2P6;SLC10A5P1;ZNF683;LINC01213;AC000374.1;MSH4;PTMAP5;CFAP46;TRPV6;AC019330.1;KRT23;TAAR3;AC098592.7;TNNC2;LINC01214;KIR2DL4;AC007405.8;CELP;TGFBR3L;AC226118.1;REN;LY6G6E;MIR5692C1;ZNF683;LINC01168;PTMAP5;MSH4;KRT23;TRPV6;TGFBR3L;TAAR3;TNNC2;AC098592.7;REN;LY6G6E;AC000362.1;CELP;LINC01168;AC000374.1;BOLA3P3;KIR2DL4;CFAP46;ELOVL3;PITX3;SLC10A5P1;PTMAP5;MSH4;TGFBR3L;TNNC2;AC098592.7;CELP;TRPV6;TAAR3;KRT23;CFAP46;PITX3;ELOVL3;LINC01168;ZNF683;LY6G6E;AC007405.8;CNN2P6;AC097711.1;AC000374.1;AC000362.1;MSH4;PTMAP5;TNNC2;LY6G6E;TAAR3;TRPV6;TGFBR3L;KRT23;AC019330.1;AC000362.1;CELP;AC007405.8;BOLA3P3;TEKT1;AC098592.7;CFAP46;KIR2DL4;LINC01168;AC097711.1;AC000374.1;PTMAP5;MSH4;KIR2DL4;TRPV6;AC098592.7;TNNC2;LY6G6E;TGFBR3L;KRT23;TAAR3;ZNF683;CELP;SLC10A5P1;AC226118.1;LINC01214;KRT32;ELOVL3;LINC01168;AC097711.1;MUC6;PTMAP5;MSH4;TGFBR3L;TRPV6;TNNC2;KRT23;CELP;LY6G6E;KIR2DL4;CNN2P6;AC000362.1;CFAP46;KRT41P;AC007405.8;AC226118.1;TAAR3;KRT32;ZFP64P1;AC019330.1;AC115283.1;PTMAP5;MSH4;TRPV6;TGFBR3L;TAAR3;KRT23;TNNC2;CELP;LY6G6E;LINC01168;REN;AC098592.7;CFAP46;PITX3;BOLA3P3;SLC10A5P1;KRT32;ELOVL3;KRT35;ZNF683;PTMAP5;MSH4;TNNC2;TRPV6;TGFBR3L;CELP;LY6G6E;REN;KRT23;TAAR3;AC098592.7;SLC10A5P1;AC000362.1;CRAT40;AC019330.1;AC226118.1;AC115283.1;LINC01168;AC000374.1;ACTBL2;MSH4;PTMAP5;LY6G6E;AC098592.7;KRT23;TRPV6;TGFBR3L;TNNC2;TAAR3;CELP;LINC01168;SLC10A5P1;ZNF683;AC226118.1;AC007405.8;AC115283.1;MUC6;KIR2DL4;AC141930.2;AC097711.1;PTMAP5;MSH4;TAAR3;TGFBR3L;AC098592.7;TNNC2;TRPV6;CELP;LY6G6E;CFAP46;TEKT1;REN;AC000362.1;KRT23;ZNF683;BOLA3P3;LINC01168;KIR2DL4;AC007405.8;AC000374.1;MSH4;PTMAP5;LY6G6E;AC098592.7;TGFBR3L;TRPV6;TNNC2;ZNF683;CFAP46;KRT23;AC000362.1;TAAR3;KIR2DL4;AC000374.1;LINC01214;CELP;AC019330.1;KRT32;LINC01168;REN;MSH4;PTMAP5;KRT23;TRPV6;KIR2DL4;TNNC2;CELP;TAAR3;CNN2P6;TGFBR3L;AC098592.7;AC019330.1;AC226118.1;LY6G6E;AC007405.8;AC097711.1;SLC10A5P1;TEKT1;MUC6;BOLA3P3;PTMAP5;MSH4;CELP;TRPV6;TGFBR3L;AC019330.1;LY6G6E;CFAP46;KIR2DL4;MIR5692C1;AC007405.8;TAAR3;AC098592.7;LINC01168;TNNC2;CNN2P6;ZNF683;AC226118.1;PITX3;PSMC1P2;PTMAP5;MSH4;LY6G6E;TAAR3;KRT23;AC019330.1;AC098592.7;TNNC2;TGFBR3L;TRPV6;CELP;BOLA3P3;CNN2P6;REN;LINC01168;KIR2DL4;AC000374.1;AC007405.8;PITX3;ZNF683;PTMAP5;MSH4;TRPV6;CFAP46;LINC01168;TAAR3;TNNC2;CELP;KRT23;AC019330.1;TGFBR3L;LINC01214;SLC10A5P1;AC007405.8;ZNF683;REN;ZFP64P1;AC000374.1;AC098592.7;BOLA3P3;MSH4;PTMAP5;TGFBR3L;CFAP46;TRPV6;CELP;TAAR3;KIR2DL4;LINC01168;BOLA3P3;ZFP64P1;CNN2P6;ELOVL3;SEMG1;ZNF683;AC098592.7;KRT32;AC000362.1;TNNC2;SLC1A7;PTMAP5;MSH4;TAAR3;KRT23;TNNC2;CELP;TRPV6;AC098592.7;ZNF683;CNN2P6;LY6G6E;LINC01214;TGFBR3L;KIR2DL4;SLC13A2;LINC01168;ELOVL3;AC000374.1;REN;AC034228.4
XGB_SGGE_msi;PTMAP5;MSH4;MMP20;TMEM215;SLC13A2;SLC35F3;SOX1;DEFA6;MTATP6P9;KRT35;ITLN2;F7;AC026202.5;SPZ1;USP17L11;PITX3;AC009960.4;KRT23;TAAR3;KISS1R;PTMAP5;MSH4;HMGCLL1;F7;BOLA3P3;MMP20;CPA6;GALNT14;FETUB;SMYD1;SLC35F3;ELOVL3;WFDC10A;KRT36;SLC10A5P1;AC026202.5;DLX3;KIR2DL4;LINC01214;LY6G6E;PTMAP5;TAAR3;DLX3;TMEM252;HES7;MSH4;MAGEB17;ZNF683;DEFA5;PITX3;SOX1;FOXL2;LINC00308;DEFA6;GALNT14;KRT32;KRT36;CNN2P6;LINC01195;AC007003.1;PTMAP5;ALG1L3P;MSH4;DEFA5;KISS1R;TAC1;AC007003.1;AC009960.4;CNTN3;DRD2;PITX3;AC226118.1;MMP20;KRT32;DEFA6;LINC01168;TEKT1;CALML3;AC019330.1;SLC39A2;PTMAP5;MSH4;TAAR3;RPL5P9;DEFA5;DEFA6;CPA6;TGFBR3L;KRT23;MIR592;RN7SKP154;BMP5;AC016909.2;ZNF683;AC115283.1;TMEM215;AC007003.1;CFAP46;KISS1R;FREM2;PTMAP5;MSH4;TAAR3;DEFA5;COL2A1;KCNK16;DEFA6;PITX3;DLX3;XPNPEP2;KRT32;AC226118.1;SLC13A2;LINC01177;ALG1L3P;FAM90A24P;ACTBL2;GPR27;CALML3;AC007405.8;PTMAP5;MSH4;PITX3;TAAR3;CNTN3;DEFA5;KRT32;DEFA6;CPA6;BMP5;SLC13A2;LY6G6E;ALG1L3P;MTATP6P9;SMYD1;WFDC10A;OR6M2P;CRAT40;HMGCLL1;EIF4HP1;PTMAP5;DLX3;MSH4;FOXL2;PITX3;KRT41P;ALG1L3P;AC026202.5;KRT23;CCDC85A;AC000362.1;HES7;WFDC10A;CACNA1S;LINC01168;PTPRT;USP17L11;CCL25;INSL5;SLC1A7;PTMAP5;MSH4;TRPV6;TGFBR3L;DEFA5;LINC01213;DEFA6;KRT35;ELOVL3;PAGE2;CNN2P6;PCP4;AC007003.1;SLC35F3;GPR27;CLDN34;DRD2;MMP20;BARX1;F7;PTMAP5;MSH4;DEFA6;DLX3;GPR27;SMYD1;CCDC85A;TMEM252;GALNT14;ALG1L3P;TMEM215;PITX3;HOXC8;F7;FOXL2;ZFP64P1;CNTN3;TRPV6;AC097711.1;AC007003.1;PTMAP5;MSH4;DLX3;KISS1R;HES7;CALML3;MAGEB17;AC012456.4;AC009960.4;DEFA5;PITX3;DEFA6;FOXL2;LRRTM3;AC007003.1;BMP5;TH;RPS4XP7;PRIMA1;CNN2P6;PTMAP5;MSH4;TAAR3;DEFA6;GALNT14;TMEM252;DEFA5;TGFBR3L;AC097711.1;BMP5;CPA6;AC007003.1;OR7E125P;KIR2DL4;AC226118.1;SLC13A2;SMYD1;FOXL2;AC007405.8;LY6G6E;PTMAP5;MSH4;CELP;TAAR3;REN;RN7SKP154;UGT2A3;PCP4;CPA6;TGFBR3L;DEFA5;AC000362.1;PTPRT;RPL5P9;SNORA2;AC062016.2;AC009960.4;TMEM215;AC115283.1;SLC13A2;MSH4;PTMAP5;AC098592.7;LY6G6E;DEFA5;DEFA6;ZNF683;DLX3;TAAR3;MIR513A2;CNN2P6;PITX3;CPN1;COL2A1;AC115283.1;AC007003.1;KRT35;TMEM215;AC034228.4;PWRN2;PTMAP5;MSH4;F7;FOXL2;CPA6;ZNF683;DLX3;KRT32;PTPRT;AC007405.8;AC097711.1;GPR27;HOXC8;SMYD1;TNNC2;TMEM215;KISS1R;PITX3;TRPV6;LY6G6E;PTMAP5;MSH4;BMP5;KRT32;DEFA5;MTATP6P9;TAAR3;DLX3;SOX1;ACTBL2;DEFA6;COL2A1;TAC1;TGFBR3L;ZNF683;ALG1L3P;TEKT1;AC007003.1;XPNPEP2;KRT83;PTMAP5;MSH4;TMEM252;DEFA6;PITX3;CALML3;KISS1R;BMP5;NXF3;GRK1;AC098592.7;CPA6;WFDC10A;SLC25A1P3;SMYD1;LY6G6E;CACNA1S;KRT41P;AC012501.3;PCP4;PTMAP5;SLC13A2;MSH4;DLX3;DEFA5;AC073628.1;CCDC85A;DEFA6;ACTBL2;MTATP6P9;TRPV6;AC007003.1;RPS4XP7;AC019330.1;MAGEB17;TMEM215;RPL3P12;CNTN3;KRT4;SPZ1;PTMAP5;MSH4;CPA6;TAAR3;F7;DLX3;DEFA6;ITLN2;TAC1;GALNT14;KRT37;PITX3;MTATP6P9;WFDC10A;SLC35F3;TH;CNN2P6;KRT32;SLC13A2;AC007003.1;PTMAP5;MSH4;F7;DLX3;BMP5;COL2A1;AC026202.5;TCP10;TARDBPP2;MMP20;AC079135.1;PITX3;WFDC10A;SLC13A2;KRT23;GALNT14;FAM90A24P;AC019330.1;TMEM252;CNN2P6
